session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E330,SP,485.1,delta
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E331,SP,75.7,alpha
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E332,SP,300.51,delta
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E333,BL,281.26,gamma
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E334,SP,316.22,alpha
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E335,BL,130.56,delta
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E336,BL,29.08,alpha
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E337,SP,470.13,beta
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E338,BL,409.69,beta
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E339,BL,176.57,delta
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E340,SP,487.81,gamma
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E341,SP,254.16,gamma
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E342,BL,21.14,gamma
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E343,BL,100.54,alpha
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E344,SP,466.39,alpha
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E345,BL,65.55,gamma
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,BL-E346,BL,165.97,alpha
SA-0078,Clara.M,TESTING,2025-10-03T13:41:00,SP-E347,SP,292.44,alpha
