session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0080,Clara.M,HR,2025-10-28T17:42:00,BL-E362,BL,178.69,delta
SA-0080,Clara.M,HR,2025-10-28T17:42:00,BL-E363,BL,456.27,gamma
SA-0080,Clara.M,HR,2025-10-28T17:42:00,BL-E364,BL,132.03,alpha
SA-0080,Clara.M,HR,2025-10-28T17:42:00,BL-E365,BL,134.95,delta
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E366,SP,489.13,delta
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E367,SP,375.92,beta
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E368,SP,409.08,alpha
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E369,SP,74.9,alpha
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E370,SP,499.09,alpha
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E371,SP,345.19,beta
SA-0080,Clara.M,HR,2025-10-28T17:42:00,SP-E372,SP,145.51,alpha
