session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0085,Clara.M,HR,2025-12-22T17:56:00,SP-E413,SP,177.0,beta
SA-0085,Clara.M,HR,2025-12-22T17:56:00,SP-E414,SP,55.82,gamma
SA-0085,Clara.M,HR,2025-12-22T17:56:00,SP-E415,SP,31.64,gamma
SA-0085,Clara.M,HR,2025-12-22T17:56:00,SP-E416,SP,332.08,alpha
SA-0085,Clara.M,HR,2025-12-22T17:56:00,BL-E417,BL,410.36,beta
SA-0085,Clara.M,HR,2025-12-22T17:56:00,BL-E418,BL,444.86,alpha
SA-0085,Clara.M,HR,2025-12-22T17:56:00,SP-E419,SP,256.81,beta
SA-0085,Clara.M,HR,2025-12-22T17:56:00,BL-E420,BL,10.05,gamma
SA-0085,Clara.M,HR,2025-12-22T17:56:00,BL-E421,BL,379.13,beta
SA-0085,Clara.M,HR,2025-12-22T17:56:00,SP-E422,SP,372.06,alpha
SA-0085,Clara.M,HR,2025-12-22T17:56:00,BL-E423,BL,104.35,beta
