session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,GR-E320,GR,177.63,beta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,BL-E321,BL,495.65,gamma
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,GR-E322,GR,176.69,delta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,BL-E323,BL,60.75,delta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,GR-E324,GR,92.09,delta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,AX-E325,AX,376.39,alpha
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,AX-E326,AX,121.11,delta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,AX-E327,AX,387.71,delta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,BL-E328,BL,324.84,beta
SA-0077,Nora.K,MDR,2025-11-21T09:00:00,GR-E329,GR,27.83,beta
