session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,GR-E373,GR,177.26,delta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,GR-E374,GR,82.02,alpha
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E375,BL,169.3,delta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E376,BL,333.16,gamma
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E377,BL,334.93,beta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,GR-E378,GR,200.71,beta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,AX-E379,AX,430.48,beta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E380,BL,249.57,gamma
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E381,BL,33.98,alpha
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E382,BL,237.16,alpha
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,GR-E383,GR,376.68,gamma
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,GR-E384,GR,212.57,gamma
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,GR-E385,GR,148.89,beta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E386,BL,386.84,delta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,AX-E387,AX,41.99,delta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E388,BL,158.57,beta
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E389,BL,108.45,gamma
SA-0081,Nora.K,MDR,2025-11-24T08:00:00,BL-E390,BL,482.12,gamma
