session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E264,SP,417.58,gamma
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E265,SP,41.82,gamma
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E266,SP,325.3,alpha
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,BL-E267,BL,307.18,gamma
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E268,SP,202.76,gamma
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E269,SP,350.51,delta
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,BL-E270,BL,476.34,gamma
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,BL-E271,BL,330.21,delta
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,BL-E272,BL,405.41,beta
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,BL-E273,BL,336.47,beta
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E274,SP,236.03,beta
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E275,SP,48.93,alpha
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E276,SP,62.76,delta
SA-0072,Felix.G,TESTING,2025-11-20T15:06:00,SP-E277,SP,83.17,alpha
