session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D690,BL,336.16,alpha
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D691,BL,284.73,delta
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D692,BL,30.63,alpha
SA-0025,Clara.M,SA,2025-12-31T15:15:00,SP-D693,SP,292.06,alpha
SA-0025,Clara.M,SA,2025-12-31T15:15:00,SP-D694,SP,186.74,delta
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D695,BL,361.96,alpha
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D696,BL,327.07,delta
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D697,BL,290.94,alpha
SA-0025,Clara.M,SA,2025-12-31T15:15:00,BL-D698,BL,408.45,delta
SA-0025,Clara.M,SA,2025-12-31T15:15:00,SP-D699,SP,115.86,beta
SA-0025,Clara.M,SA,2025-12-31T15:15:00,SP-D700,SP,318.96,gamma
SA-0025,Clara.M,SA,2025-12-31T15:15:00,SP-D701,SP,153.22,delta
