session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0100,Clara.M,SA,2025-11-28T09:20:00,BL-E623,BL,313.5,zeta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,SP-E624,SP,126.69,delta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,BL-E625,BL,32.44,gamma
SA-0100,Clara.M,SA,2025-11-28T09:20:00,SP-E626,SP,351.59,alpha
SA-0100,Clara.M,SA,2025-11-28T09:20:00,NV-E628,NV,390.4,beta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,SP-E629,SP,351.08,delta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,SP-E630,SP,381.3,alpha
SA-0100,Clara.M,SA,2025-11-28T09:20:00,SP-E631,SP,423.9,zeta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,BL-E632,BL,283.13,zeta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,BL-E633,BL,3155.66,delta
SA-0100,Clara.M,SA,2025-11-28T09:20:00,SP-E634,SP,251.43,epsilon
