session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0011,Clara.M,SA,2025-11-14T10:37:00,BL-D507,BL,434.05,delta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D508,SP,436.68,delta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D509,SP,247.16,delta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D510,SP,337.68,alpha
SA-0011,Clara.M,SA,2025-11-14T10:37:00,BL-D511,BL,120.16,beta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D512,SP,83.54,alpha
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D513,SP,184.69,delta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D514,SP,421.59,beta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D515,SP,188.14,alpha
SA-0011,Clara.M,SA,2025-11-14T10:37:00,BL-D516,BL,316.94,gamma
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D517,SP,143.02,alpha
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D518,SP,228.85,beta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D519,SP,135.48,beta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D520,SP,121.89,delta
SA-0011,Clara.M,SA,2025-11-14T10:37:00,SP-D521,SP,29.71,gamma
SA-0011,Clara.M,SA,2025-11-14T10:37:00,BL-D522,BL,54.77,beta
