session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E605,SP,25.01,alpha
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E606,SP,NULL,gamma
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E607,BL,235.74,sigma
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E608,BL,N/A,beta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E609,BL,396.87,beta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E610,SP,277.63,alpha
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E611,BL,49.01,sigma
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E612,BL,363.99,delta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E613,BL,2614.61,beta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E614,SP,178.23,gamma
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E615,SP,NULL,delta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E616,BL,264.28,delta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E617,BL,17.66,gamma
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E618,BL,414.18,beta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E619,SP,4705.27,alpha
SA-0099,Clara.M,SA,2025-11-19T14:46:00,BL-E620,BL,-239.23,beta
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E621,SP,141.88,alpha
SA-0099,Clara.M,SA,2025-11-19T14:46:00,SP-E622,SP,2300.98,alpha
