session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0075,Clara.M,SA,2025-12-07T11:02:00,BL-E301,BL,127.1,alpha
SA-0075,Clara.M,SA,2025-12-07T11:02:00,BL-E302,BL,33.4,alpha
SA-0075,Clara.M,SA,2025-12-07T11:02:00,BL-E303,BL,272.28,delta
SA-0075,Clara.M,SA,2025-12-07T11:02:00,SP-E304,SP,255.86,gamma
SA-0075,Clara.M,SA,2025-12-07T11:02:00,SP-E305,SP,253.35,beta
SA-0075,Clara.M,SA,2025-12-07T11:02:00,BL-E306,BL,392.04,beta
SA-0075,Clara.M,SA,2025-12-07T11:02:00,BL-E307,BL,284.77,gamma
SA-0075,Clara.M,SA,2025-12-07T11:02:00,SP-E308,SP,277.08,beta
SA-0075,Clara.M,SA,2025-12-07T11:02:00,SP-E309,SP,345.69,alpha
SA-0075,Clara.M,SA,2025-12-07T11:02:00,BL-E310,BL,326.95,delta
SA-0075,Clara.M,SA,2025-12-07T11:02:00,SP-E311,SP,58.74,gamma
SA-0075,Clara.M,SA,2025-12-07T11:02:00,SP-E312,SP,332.15,gamma
