session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0088,Clara.M,SA,2025-11-28T10:43:00,XX-E446,XX,389.9,alpha
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E447,SP,50.49,zeta
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E448,SP,225.1,gamma
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E449,SP,NULL,gamma
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E450,SP,399.4,gamma
SA-0088,Clara.M,SA,2025-11-28T10:43:00,BL-E451,BL,88.04,beta
SA-0088,Clara.M,SA,2025-11-28T10:43:00,BL-E452,BL,150.72,alpha
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E453,SP,1161.53,delta
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E454,SP,31.63,alpha
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E455,SP,1354.75,gamma
SA-0088,Clara.M,SA,2025-11-28T10:43:00,BL-E456,BL,269.72,delta
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E457,SP,125.54,beta
SA-0088,Clara.M,SA,2025-11-28T10:43:00,SP-E458,SP,495.43,gamma
