session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E001,BL,202.39,gamma
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E002,BL,24.12,delta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,SP-E003,SP,100.57,alpha
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E004,BL,404.27,beta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,SP-E005,SP,382.28,gamma
SA-0051,Felix.G,SA,2025-12-17T12:21:00,SP-E006,SP,444.46,gamma
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E007,BL,237.25,beta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E008,BL,116.23,alpha
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E009,BL,16.06,beta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E010,BL,111.11,delta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E011,BL,234.36,delta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,SP-E012,SP,461.2,delta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,BL-E013,BL,399.55,beta
SA-0051,Felix.G,SA,2025-12-17T12:21:00,SP-E014,SP,312.02,alpha
SA-0051,Felix.G,SA,2025-12-17T12:21:00,SP-E015,SP,313.45,alpha
