session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0035,Felix.G,SA,2025-11-17T08:09:00,SP-D827,SP,196.79,alpha
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D828,BL,386.66,alpha
SA-0035,Felix.G,SA,2025-11-17T08:09:00,SP-D829,SP,383.47,alpha
SA-0035,Felix.G,SA,2025-11-17T08:09:00,SP-D830,SP,19.7,delta
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D831,BL,148.41,delta
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D832,BL,456.02,beta
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D833,BL,310.18,gamma
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D834,BL,244.77,beta
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D835,BL,272.86,gamma
SA-0035,Felix.G,SA,2025-11-17T08:09:00,SP-D836,SP,80.76,beta
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D837,BL,499.58,beta
SA-0035,Felix.G,SA,2025-11-17T08:09:00,BL-D838,BL,372.6,delta
