session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D586,SP,99.02,gamma
SA-0017,Felix.G,SA,2025-11-05T15:28:00,BL-D587,BL,268.58,delta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D588,SP,206.72,gamma
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D589,SP,315.61,delta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D590,SP,14.18,gamma
SA-0017,Felix.G,SA,2025-11-05T15:28:00,BL-D591,BL,83.74,beta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,BL-D592,BL,270.86,beta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,BL-D593,BL,447.69,beta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D594,SP,388.77,beta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,BL-D595,BL,98.98,alpha
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D596,SP,391.94,gamma
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D597,SP,170.46,gamma
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D598,SP,332.5,beta
SA-0017,Felix.G,SA,2025-11-05T15:28:00,BL-D599,BL,90.01,gamma
SA-0017,Felix.G,SA,2025-11-05T15:28:00,SP-D600,SP,468.79,beta
