session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,BL-E348,BL,59.21,delta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E349,SP,162.83,delta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E350,SP,332.37,gamma
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E351,SP,77.08,alpha
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E352,SP,62.35,delta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E353,SP,239.92,gamma
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,BL-E354,BL,275.56,gamma
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E355,SP,299.52,beta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E356,SP,173.69,beta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E357,SP,319.11,alpha
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,BL-E358,BL,117.02,beta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E359,SP,371.55,beta
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,BL-E360,BL,12.59,gamma
SA-0079,Harmon.D,SA,2025-11-05T12:53:00,SP-E361,SP,251.4,beta
